,Name,Rating_attaction,Username,Title_Review,Rating_Review,Review,Date,State,Type_traveler
11910,Praça da República,40,Manoel Silva,Praça em reforma,20,"Situada no centro de Belém já foi uma das mais bonitas praças da capital paranaense, mas hoje está passando por uma reforma que nunca termina. Aos domingos pela manhã pra quem gosta de artesanato é uma ótima opção de compra e lazer, nessa praça também está localizado o teatro da Paz.", janeiro de 2017,"Manaus, AM",Families
11911,Praça da República,40,ThiagoTupinamba,Praça histórica,40,"Estive no local no Domingo, dia em que é realizada uma grande feira de artesanato.Local estava bem cuidado e limpo.", abril de 2017,"Caxias Do Sul, RS",Families
11912,Praça da República,40,Cléo M,Péssima,30,"Esta praça onde ocorre uma grande feira de artesanato aos domingos me surpreendeu pelo seu péssimo estado. Há lixo espalhado, jardins sem manutenção e grama alta, além de um calçamento esburacado e sem manutenção.", abril de 2017,,Families
11913,Praça da República,40,claudiomar m,uma praça histórica,40,"uma praça histórica e com belíssimas paisagens, no qual o turista desfruta do ar puro, sombreada com diversidade de arvores.", fevereiro de 2017,"Cristalina, GO",Families
11914,Praça da República,40,fayannem2017,Lindo local,50,"Ótimo para passeios, super arborizado, pena que passei rapidamente e não aproveitei o passeio como queria", fevereiro de 2017,"Manaus, AM",Families
11915,Praça da República,40,levy v,praça muito bonita,50,"Praça bastante conhecida de belém, é maravilhosa passear nela com a família, bastante arborizada varias bancos pra sentar.", junho de 2016,"Jundiaí, SP",Families
11916,Praça da República,40,Andrea C,"Descuidada,abandonada.",10,"Lugar sujo,abandonado com museu  fechado bem em feriado,calcada toda cheia de buracos,pixados,sujos,muito triste.", fevereiro de 2017,,Families
11917,Praça da República,40,Hannah L,Bom lugar,30,Lugar pra curtir com a família. Fazer piqueniques. Fácil acesso de transporte público. Divirta-se. Dica: mês de outubro, outubro de 2016,,Families
11918,Praça da República,40,Chrystina F,melhor vir no domingo!,40,"Apesar de estar com o piso muito deteriorado, onde podemos tropeçar e cair se não olhar pro chão, vale a pena passar a manha toda de domingo. O artesanato é lindo, rico, tem biscoitinhos de varios sabores regionais, tem sucos deliciosos, tem lanches, salgados, roupas e vendedores simpáticos. Reserve sua manhã de domingo e dinheiro pra gastar, porque da vontade de comprar tudooooo...", janeiro de 2017,"Fortaleza, Ceara, Brazil",Families
11919,Praça da República,40,Cristiano s,um bom lugar dia de domingo,30,"esta praça e bem legal dia de domingo tem algumas atrações como  bandas uma feirinha de artesanatos, muitas pessoas bastante famílias ao redor da praça vão para passear com seus  filhos, e um bom lugar para se levar a família  relaxar", outubro de 2016,"Ananindeua, PA",Families
11920,Praça da República,40,Annefigueiredo,Praça bonita mas abandonada,20,"Praça que já foi bonita, hoje só tem essa beleza aos domingos de manhã quando tem a feirinha, pois a prefeito abandonou , está em obras faz tempo porém sem prazo pra entrega , e está entregue a vândalos, promíscuos,ladrões e baderneiros.", outubro de 2016,"Itatiba, SP",Families
11921,Praça da República,40,Coimbra2013,Em reforma,30,A praça está em reforma e não foi possível avaliar a sua estrutura. Aos domingos recebe uma feira de artesanato., janeiro de 2017,"Belém, PA",Families
11922,Praça da República,40,jrrsanches,"Pensou na Praça, lembrou da feirinha de domingo!",30,"Aos domingos é uma otima opção de lazer e pequenas compras de artesanato e comidas tipicas. No resto da semana é até meio inconveniente atravessá-la a pé. meio abandonada pelo serviço publico a praça apesar de conta com o Teatro da Paz, vive numa eterna remodelação que nunca acaba. Uma opção muito melhor em materia de praça é a Praça Batista Campos que não é longe e muito mais bonita e conservada por estar num dos bairros mais tradicionais enquanto a Praça da República esta no centro da cidade.", dezembro de 2016,,Families
11923,Praça da República,40,natalia_camara,Domingo é dia,40,"O domingo é o melhor momento para visitar a Praça da República e vê-la como ela de fato é: a principal opção de lazer de Belém, ponto de encontro de amigos e palco de apresentações culturais. De tudo se encontra lá: artesanato, instrumentos musicais, brinquedos, decoração, bugigangas chinesas, imagens de Nossa Senhora de Nazaré, vestuário, e claro, comida farta, de mil cores e temperos - cuidado com a barriga ! As crianças adoram (tem carrinhos elétricos para pilotar), os pais  se distraem, os comerciantes de um modo geral são simpáticos e tudo acaba bem. Masssss... vá com uma roupa leve, sandálias confortáveis e tenha disposição de encarar o calor porque não é fácil não ! Pra emoldurar as fotos, ainda tem o belo Theatro da Paz bem no meio da pracinha. Mas se quiser tirar fotos apenas da Praça, é melhor ir nos outros dias, sem a avalanche de barracas e pessoas no local. Quando visitei, estavam restaurando alguns atrativos da Praça e espero que essa revitalização se estenda ao monumento central, tristemente pichado.", dezembro de 2016,"Recife, PE",Families
11924,Praça da República,40,Penna2014,Praça da República,40,"Praça muito bonita, pena que esteja abandonada pelo poder público. Parece que agora a mesma está pasando por uma reforma.", outubro de 2016,"Belém, PA",Families
11925,Praça da República,40,MonicaGliceria,Praça da Republica,40,Excelente opção de passeio aos domingos tem feirinha e no Theatro da Paz tem apresentações constantes, fevereiro de 2016,"Sete Lagoas, MG",Families
11926,Praça da República,40,RamonAlmeida,Local em reforma.  ,30,A praça é bonita e um ótimo local para passeio e compras no domingo.  O problema é que o prefeito está fazendo uma obra há mais de 1 ano lá e por isso o local está sem estacionamento o piso em diversos locais está cheio de pedras portuguesas soltas., dezembro de 2016,"Belém, PB",Families
11927,Praça da República,40,tarciosantos,Ótimo local recreativo.,50,"Excelente local para visitar, quem vai a Belém não pode deixar e conhecer, ponto turístico, aos domingos artesanato e muitos show culturais.", janeiro de 2016,"Vitória, ES",Families
11928,Praça da República,40,Bel B,Legal aos domingos,40,"A praça é muito bonita, mas requer conservação, muitos momentos estão fechados para recuperação. Sugiro que visite no domingo pela manhã que acontece a feira onde se encontra um pouco de tudo e fica com policiamento podendo andar tranquilamente.", dezembro de 2016,"Recife, PE",Families
11929,Praça da República,40,Thalita L,Um dos melhores lugares para fazer compras !,50,"A feira que acontece nessa praça, é simplesmente sensacional, para quem ta visitando a cidade e quer comprar artesanatos, ou algo pra guardar de recordação!", dezembro de 2015,"Belém, PA",Families
11930,Praça da República,40,Larissa F,Melhor aos domingos de manha,50,"´Ponto turistico de Belém, o local é lindo, no entanto falta policiamento no local, sendo propicio para passeios comente no periodo de manha ou tarde. Nos domingos de manha, a praca fica bem movimentava e animada, com diversos vendedores de lembrancas da cidade, comidas, dentre outras.", julho de 2016,"São Paulo, SP",Families
11931,Praça da República,40,anaritasanti,cuidado,40,"dizem que é muito perigosa! juro que não vi nada!mas a praça está em plena reforma, mas assim mesmo é bem bonita. tem uma feirinha de fim de semana que lota1", julho de 2016,"São Paulo, SP",Families
11932,Praça da República,40,Roberto F,"Praça abandonada, mas em reforma.",30,"Praça com muito potencial para ser um belo cartão postal de Belém, porém atualmente está abandonada, com muitos buracos nas calçadas, muitos mendigos e usuários de drogas.A boa notícia é que está sendo reformada e quando ficar pronta ficará muito bonita.Muitos pés de manga, aliás, a cidade toda é tomada por estas árvores. Um dos moradores da cidade me contou que foram plantadas para aliviar o calor e dar sombra aos visitantes que acompanham a Procissão.Lá está localizada o especular Teatro da Paz.Aos domingos, é promovida feirinha de artesanato.", agosto de 2016,,Families
11933,Praça da República,40,Betania L,ÓTIMA,50,Um ótimo local para um passeio dominical com a família. muitas barraquinhas que misturam o artesanato e a culinária regionais., maio de 2016,"Belém, PA",Families
11934,Praça da República,40,ECMathias,Perigosa,20,"Praça é muito agradável porém é muito perigosa. Não tem quase policiamento. Tem muito ladrãozinho, drogado e garotas de programa.Domingo é gostoso e muito movimentado com as feirinhas que tem ao seu redor no período das 8 as 13 horas.Aconselho a ter cuidado .", julho de 2016,"São Paulo, SP",Families
11935,Praça da República,40,Giselle A,Imunda apesar da beleza ,20,"Uma praça de arquitetura bela, mau cuidada pela prefeitura. Muito triste!Coco de cachorro espalhado, violência e muito lixo.", agosto de 2016,"Ananindeua, PA",Families
11936,Praça da República,40,Milly_Carvalho,Lazer,50,"A feirinha que tem aos domingos é excelente, tem diversos itens da cultura local, é possível comprar da cachaça artesanal a sabonetes com essências de plantas locais.", janeiro de 2016,"Ananindeua, PA",Families
11937,Praça da República,40,ianameireles,Linda  praça!,30,"A praça embora linda, achei muito mal cuidada, falta segurança e limpeza também. mesmo assim indico a vista!", abril de 2016,,Families
11938,Praça da República,40,Keia Vieira,Praça muito bonita ,40,Praça muito bonita. Ótima p o lazer com as crianças. No domingo tem a Feirinha que começa das 8 até as 16hs lá vc encontra muitas lembranças do nosso Pará., julho de 2016,"Niterói, RJ",Families
11939,Praça da República,40,roberta g,PRACA,50,"amei irei mais vezes com eles para nos reunirmos tomarmos água de coco, passeamos com cachorros e comprar coisas", junho de 2016,"Boa Vista, RR",Families
11940,Praça da República,40,Alex-Grion,Um resumo aprecimável da cidade das mangueiras na área central da cidade,40,"De segunda a sábado é apenas uma praça com várias mangueiras no seu contorno, uma extensa área digna de cartão-postal e o conhecido teatro da paz. Domingo, a praça da República é recebido por milhares de visitantes, do Pará e de fora, por haver a famosa feira. Desde manhã, o mercado de barracas atrai moradores locais e turistas por conta da variedade de produtos vendidos, principalmente os típicos do local e alguns peculiares como moedas antigas e jogos de raciocínio lógico. Não é tão conhecido por vender alimentos típicos do Pará, tal atributo é encontrado no ver-o-peso. No mais, é uma praça na área central de Bélem, bairro de Nazaré, com cinema hotel e a PIB do Pará em seu entorno.", junho de 2016,,Families
11941,Praça da República,40,Ellida A,Linda praça ,50,Ótimo para levar crianças. Tem a feirinha de artesanato dia de domingo. Pode- se aproveitar para visitar o teatro da paz., julho de 2016,,Families
11942,Praça da República,40,gilson g,local bem agradável apesar do calor,40,"é um local bem agradável, apesar do calor que é muito quente aqui em belém, mas tem bastante policiamento no local", julho de 2016,,Families
11943,Praça da República,40,suzanferreira,Passeio de domingo. ,50,"A praça fica bem movimentada aos domingos, com barracas de comidas regionais, lanches e de artesanato. Para quem quer passear ou simplesmente comprar uma lembrança da cidade. Sempre há shows ou atrações folclóricas como no mês de junho o Arrastão do Arraial do Pavulagem que termina a festa em plena praça ao som das alegres músicas do grupo.", julho de 2016,"Belém, PA",Families
11944,Praça da República,40,Breno A,Praça da República,50,"A Praça consiste em uma paisagem linda e arborização diferenciada, com espaço para um passeio tranquilo ou uma caminha. Ligar perfeito para a família.", julho de 2016,"Belém, PA",Families
11945,Praça da República,40,Jennifer T,praça,50,ótima pra passear.tirar fotos. passear com a familia... mas sempre ficar atento pois tem gente de má  índole que pode furtar pessoas de bem., setembro de 2015,"Belém, PA",Families
11946,Praça da República,40,Ricardo Albuquerque,Passeio e Artesanato local,40,"Ótima praça para passear aos domingos em família, com a feira para compras de artesanato local e muitas opções de lazer.", junho de 2016,,Families
11947,Praça da República,40,rui monteiro di... d,Feira aos domingos!,40,"Aos domingos essa praça fica bem movimentada, pois acontece uma feirinha de artesãos e afins. Você pode encontrar de tudo lá, desde um brinco bonito à comidinhas orgânicas.", julho de 2015,,Families
11948,Praça da República,40,Nikom M,Fim de tarde,40,"Praça com sua historias do passado, um bom lugar para passar um domingo com os filhos. falta mas segurança para as famílias.", abril de 2016,"Belém, PA",Families
11949,Praça da República,40,Gustavo P,Praça Centenária de muito verde e obras arquitetônicas,40,"A maior praça de Belém, com muito verde, não tão bem cuidada, mas estamos no Brasil. Aos domingos, diversas barracas tomam conta das calçadas, trazendo muitas comidas tipicas, salgado e sucos de divrersos sabores. Artesanato local se mistura com os made in china e paraguai. Um bom programa para levar as crianças para brincar ou para um passeio despretencioso.", maio de 2016,"Belém, PA",Families
